Quotazioni Immobiliari : Valori di Mercato - Semestre 2023/2 - elaborazione del 12-LUG-24
Area_territoriale;Regione;Prov;Comune_ISTAT;Comune_cat;Sez;Comune_amm;Comune_descrizione;Fascia;Zona;LinkZona;Cod_Tip;Descr_Tipologia;Stato;Stato_prev;Compr_min;Compr_max;Sup_NL_compr;Loc_min;Loc_max;Sup_NL_loc;
NORD-EST;VENETO;PD;5028060;D3AA; ;G224;PADOVA;B;B1;PD00000015;20;Abitazioni civili;OTTIMO; ;3400;4700;L;;;;
NORD-EST;VENETO;PD;5028060;D3AA; ;G224;PADOVA;B;B1;PD00000015;20;Abitazioni civili;NORMALE;P;2400;3400;L;8,5;11;L;
NORD-EST;VENETO;PD;5028060;D3AA; ;G224;PADOVA;B;B1;PD00000015;21;Abitazioni di tipo economico;NORMALE;P;2100;2750;L;6,1;8,9;L;
NORD-EST;VENETO;PD;5028060;D3AA; ;G224;PADOVA;B;B1;PD00000015;5;Negozi;OTTIMO; ;4100;8500;L;22;42;L;
NORD-EST;VENETO;PD;5028060;D3AA; ;G224;PADOVA;B;B1;PD00000015;5;Negozi;NORMALE;P;2450;3600;L;12,9;22;L;
NORD-EST;VENETO;PD;5028060;D3AA; ;G224;PADOVA;B;B1;PD00000015;6;Uffici;NORMALE;P;1750;2550;L;7;10,5;L;
NORD-EST;VENETO;PD;5028060;D3AA; ;G224;PADOVA;B;B1;PD00000015;6;Uffici;OTTIMO; ;2300;3800;L;;;;
NORD-EST;VENETO;PD;5028060;D3AA; ;G224;PADOVA;B;B2;PD00000016;20;Abitazioni civili;NORMALE;P;2200;3000;L;7,9;10,5;L;
NORD-EST;VENETO;PD;5028060;D3AA; ;G224;PADOVA;B;B2;PD00000016;20;Abitazioni civili;OTTIMO; ;3000;4200;L;8,1;11,5;L;
NORD-EST;VENETO;PD;5028060;D3AA; ;G224;PADOVA;B;B2;PD00000016;21;Abitazioni di tipo economico;NORMALE;P;1700;2350;L;6;7,5;L;
NORD-EST;VENETO;PD;5028060;D3AA; ;G224;PADOVA;B;B2;PD00000016;13;Box;NORMALE;P;2000;2600;L;7;10;L;
NORD-EST;VENETO;PD;5028060;D3AA; ;G224;PADOVA;B;B2;PD00000016;1;Ville e Villini;NORMALE;P;2000;2950;L;7;9,5;L;
NORD-EST;VENETO;PD;5028060;D3AA; ;G224;PADOVA;B;B2;PD00000016;5;Negozi;NORMALE;P;1850;2450;L;10;14;L;
NORD-EST;VENETO;PD;5028060;D3AA; ;G224;PADOVA;B;B2;PD00000016;5;Negozi;OTTIMO; ;2400;4400;L;15;22;L;
NORD-EST;VENETO;PD;5028060;D3AA; ;G224;PADOVA;B;B2;PD00000016;5;Negozi;SCADENTE; ;1400;1950;L;;;;
NORD-EST;VENETO;PD;5028060;D3AA; ;G224;PADOVA;B;B2;PD00000016;6;Uffici;NORMALE;P;1500;2500;L;7;10;L;
NORD-EST;VENETO;PD;5028060;D3AA; ;G224;PADOVA;C;C1;PD00000018;20;Abitazioni civili;OTTIMO; ;2250;3200;L;;;;
NORD-EST;VENETO;PD;5028060;D3AA; ;G224;PADOVA;C;C1;PD00000018;20;Abitazioni civili;NORMALE;P;1500;2150;L;7,6;10,8;L;
NORD-EST;VENETO;PD;5028060;D3AA; ;G224;PADOVA;C;C1;PD00000018;21;Abitazioni di tipo economico;NORMALE;P;1100;1400;L;5,5;6,6;L;
NORD-EST;VENETO;PD;5028060;D3AA; ;G224;PADOVA;C;C1;PD00000018;13;Box;NORMALE;P;1800;2400;L;6,6;8;L;
NORD-EST;VENETO;PD;5028060;D3AA; ;G224;PADOVA;C;C1;PD00000018;5;Negozi;OTTIMO; ;1900;2450;L;10;15,5;L;
NORD-EST;VENETO;PD;5028060;D3AA; ;G224;PADOVA;C;C1;PD00000018;5;Negozi;NORMALE;P;1000;1950;L;8;14,5;L;
NORD-EST;VENETO;PD;5028060;D3AA; ;G224;PADOVA;C;C1;PD00000018;6;Uffici;NORMALE;P;1450;1900;L;6;8,8;L;
NORD-EST;VENETO;PD;5028060;D3AA; ;G224;PADOVA;C;C2;PD00000019;20;Abitazioni civili;OTTIMO; ;1900;2600;L;;;;
