Quotazioni Immobiliari : Valori di Mercato - Semestre 2023/2 - elaborazione del 12-LUG-24
Area_territoriale;Regione;Prov;Comune_ISTAT;Comune_cat;Sez;Comune_amm;Comune_descrizione;Fascia;Zona;LinkZona;Cod_Tip;Descr_Tipologia;Stato;Stato_prev;Compr_min;Compr_max;Sup_NL_compr;Loc_min;Loc_max;Sup_NL_loc;
NORD-EST;VENETO;PD;5028060;D3AA; ;G224;PADOVA;C;C2;PD00000019;20;Abitazioni civili;NORMALE;P;1150;1500;L;5,5;7;L;
NORD-EST;VENETO;PD;5028060;D3AA; ;G224;PADOVA;C;C2;PD00000019;21;Abitazioni di tipo economico;NORMALE;P;1000;1350;L;4,6;6,5;L;
NORD-EST;VENETO;PD;5028060;D3AA; ;G224;PADOVA;C;C2;PD00000019;13;Box;NORMALE;P;1200;1650;L;5,4;6,6;L;
NORD-EST;VENETO;PD;5028060;D3AA; ;G224;PADOVA;C;C2;PD00000019;5;Negozi;OTTIMO; ;2500;3700;L;11;18;L;
NORD-EST;VENETO;PD;5028060;D3AA; ;G224;PADOVA;C;C2;PD00000019;5;Negozi;NORMALE;P;1400;2100;L;8,5;12,7;L;
NORD-EST;VENETO;PD;5028060;D3AA; ;G224;PADOVA;C;C2;PD00000019;6;Uffici;NORMALE;P;1000;1500;L;6,5;9,5;L;
NORD-EST;VENETO;PD;5028060;D3AA; ;G224;PADOVA;C;C2;PD00000019;6;Uffici;OTTIMO; ;1450;2100;L;9;13,5;L;
NORD-EST;VENETO;PD;5028060;D3AA; ;G224;PADOVA;C;C3;PD00000020;20;Abitazioni civili;SCADENTE; ;650;900;L;;;;
NORD-EST;VENETO;PD;5028060;D3AA; ;G224;PADOVA;C;C3;PD00000020;20;Abitazioni civili;OTTIMO; ;1400;1900;L;;;;
NORD-EST;VENETO;PD;5028060;D3AA; ;G224;PADOVA;C;C3;PD00000020;20;Abitazioni civili;NORMALE;P;950;1100;L;4,9;6;L;
NORD-EST;VENETO;PD;5028060;D3AA; ;G224;PADOVA;C;C3;PD00000020;21;Abitazioni di tipo economico;NORMALE;P;700;950;L;4,3;5;L;
NORD-EST;VENETO;PD;5028060;D3AA; ;G224;PADOVA;C;C3;PD00000020;13;Box;NORMALE;P;650;900;L;4,5;6;L;
NORD-EST;VENETO;PD;5028060;D3AA; ;G224;PADOVA;C;C3;PD00000020;1;Ville e Villini;NORMALE;P;1250;1550;L;4,5;6;L;
NORD-EST;VENETO;PD;5028060;D3AA; ;G224;PADOVA;C;C3;PD00000020;5;Negozi;SCADENTE; ;700;1150;L;;;;
NORD-EST;VENETO;PD;5028060;D3AA; ;G224;PADOVA;C;C3;PD00000020;5;Negozi;NORMALE;P;950;1400;L;6,5;11,8;L;
NORD-EST;VENETO;PD;5028060;D3AA; ;G224;PADOVA;C;C3;PD00000020;6;Uffici;NORMALE;P;850;1250;L;5,5;8;L;
NORD-EST;VENETO;PD;5028060;D3AA; ;G224;PADOVA;C;C4;PD00002090;6;Uffici;NORMALE;P;950;1350;L;5,5;8,2;L;
NORD-EST;VENETO;PD;5028060;D3AA; ;G224;PADOVA;C;C4;PD00002090;6;Uffici;SCADENTE; ;750;1000;L;;;;
NORD-EST;VENETO;PD;5028060;D3AA; ;G224;PADOVA;C;C4;PD00002090;6;Uffici;OTTIMO; ;1300;1800;L;7,2;10,2;L;
NORD-EST;VENETO;PD;5028060;D3AA; ;G224;PADOVA;C;C5;PD00002350;20;Abitazioni civili;OTTIMO; ;2150;2750;L;;;;
NORD-EST;VENETO;PD;5028060;D3AA; ;G224;PADOVA;C;C5;PD00002350;20;Abitazioni civili;NORMALE;P;1450;1800;L;6,7;9;L;
NORD-EST;VENETO;PD;5028060;D3AA; ;G224;PADOVA;C;C5;PD00002350;21;Abitazioni di tipo economico;NORMALE;P;1300;1600;L;5,8;7,2;L;
NORD-EST;VENETO;PD;5028060;D3AA; ;G224;PADOVA;C;C5;PD00002350;13;Box;NORMALE;P;1200;1700;L;6;7,5;L;
NORD-EST;VENETO;PD;5028060;D3AA; ;G224;PADOVA;C;C5;PD00002350;1;Ville e Villini;NORMALE;P;1750;2250;L;6,9;8,2;L;
NORD-EST;VENETO;PD;5028060;D3AA; ;G224;PADOVA;C;C5;PD00002350;5;Negozi;OTTIMO;P;1600;2550;L;10;16,5;L;
NORD-EST;VENETO;PD;5028060;D3AA; ;G224;PADOVA;C;C5;PD00002350;6;Uffici;NORMALE;P;1200;1800;L;7;9,8;L;
NORD-EST;VENETO;PD;5028060;D3AA; ;G224;PADOVA;C;C6;PD00002351;20;Abitazioni civili;OTTIMO; ;1900;2850;L;6,5;9;L;
NORD-EST;VENETO;PD;5028060;D3AA; ;G224;PADOVA;C;C6;PD00002351;20;Abitazioni civili;NORMALE;P;1250;1500;L;5,7;7,5;L;
NORD-EST;VENETO;PD;5028060;D3AA; ;G224;PADOVA;C;C6;PD00002351;21;Abitazioni di tipo economico;NORMALE;P;1100;1300;L;5,1;6,2;L;
NORD-EST;VENETO;PD;5028060;D3AA; ;G224;PADOVA;C;C6;PD00002351;13;Box;NORMALE;P;1100;1350;L;5,4;6,6;L;
NORD-EST;VENETO;PD;5028060;D3AA; ;G224;PADOVA;C;C6;PD00002351;1;Ville e Villini;NORMALE;P;1550;2100;L;5,6;6,2;L;
NORD-EST;VENETO;PD;5028060;D3AA; ;G224;PADOVA;C;C6;PD00002351;5;Negozi;OTTIMO;P;1700;2550;L;9,5;16;L;
NORD-EST;VENETO;PD;5028060;D3AA; ;G224;PADOVA;C;C6;PD00002351;6;Uffici;NORMALE;P;1450;1900;L;6,8;8,8;L;
NORD-EST;VENETO;PD;5028060;D3AA; ;G224;PADOVA;D;D1;PD00000023;20;Abitazioni civili;OTTIMO; ;1500;1900;L;;;;
NORD-EST;VENETO;PD;5028060;D3AA; ;G224;PADOVA;D;D1;PD00000023;20;Abitazioni civili;NORMALE;P;1100;1450;L;4,7;5,6;L;
NORD-EST;VENETO;PD;5028060;D3AA; ;G224;PADOVA;D;D1;PD00000023;21;Abitazioni di tipo economico;NORMALE;P;900;1200;L;4,3;4,7;L;
NORD-EST;VENETO;PD;5028060;D3AA; ;G224;PADOVA;D;D1;PD00000023;13;Box;NORMALE;P;650;850;L;3,8;4,3;L;
NORD-EST;VENETO;PD;5028060;D3AA; ;G224;PADOVA;D;D1;PD00000023;1;Ville e Villini;NORMALE;P;1300;1600;L;4,7;5,2;L;
NORD-EST;VENETO;PD;5028060;D3AA; ;G224;PADOVA;D;D1;PD00000023;5;Negozi;NORMALE;P;1550;2000;L;8;11;L;
NORD-EST;VENETO;PD;5028060;D3AA; ;G224;PADOVA;D;D1;PD00000023;6;Uffici;NORMALE;P;1200;1500;L;6,2;7,6;L;
NORD-EST;VENETO;PD;5028060;D3AA; ;G224;PADOVA;D;D2;PD00000024;20;Abitazioni civili;NORMALE;P;1000;1450;L;4,6;6,5;L;
NORD-EST;VENETO;PD;5028060;D3AA; ;G224;PADOVA;D;D2;PD00000024;20;Abitazioni civili;OTTIMO; ;1600;2050;L;;;;
NORD-EST;VENETO;PD;5028060;D3AA; ;G224;PADOVA;D;D2;PD00000024;21;Abitazioni di tipo economico;NORMALE;P;900;1200;L;4,2;5,4;L;
NORD-EST;VENETO;PD;5028060;D3AA; ;G224;PADOVA;D;D2;PD00000024;13;Box;NORMALE;P;650;800;L;2,5;3,5;L;
NORD-EST;VENETO;PD;5028060;D3AA; ;G224;PADOVA;D;D2;PD00000024;1;Ville e Villini;NORMALE;P;1250;1600;L;4,6;6,6;L;
NORD-EST;VENETO;PD;5028060;D3AA; ;G224;PADOVA;D;D2;PD00000024;5;Negozi;NORMALE;P;1600;1850;L;;;;
NORD-EST;VENETO;PD;5028060;D3AA; ;G224;PADOVA;D;D2;PD00000024;5;Negozi;OTTIMO; ;1800;2200;L;;;;
NORD-EST;VENETO;PD;5028060;D3AA; ;G224;PADOVA;D;D2;PD00000024;6;Uffici;NORMALE;P;1200;1650;L;;;;
NORD-EST;VENETO;PD;5028060;D3AA; ;G224;PADOVA;D;D3;PD00002091;20;Abitazioni civili;OTTIMO; ;1550;2000;L;5,4;7;L;
NORD-EST;VENETO;PD;5028060;D3AA; ;G224;PADOVA;D;D3;PD00002091;20;Abitazioni civili;NORMALE;P;1200;1450;L;5,2;6,7;L;
NORD-EST;VENETO;PD;5028060;D3AA; ;G224;PADOVA;D;D3;PD00002091;21;Abitazioni di tipo economico;NORMALE;P;1000;1200;L;4,4;5;L;
NORD-EST;VENETO;PD;5028060;D3AA; ;G224;PADOVA;D;D3;PD00002091;13;Box;NORMALE;P;650;800;L;4;4,6;L;
NORD-EST;VENETO;PD;5028060;D3AA; ;G224;PADOVA;D;D3;PD00002091;1;Ville e Villini;NORMALE;P;1300;1650;L;5,5;6,8;L;
NORD-EST;VENETO;PD;5028060;D3AA; ;G224;PADOVA;D;D3;PD00002091;5;Negozi;NORMALE;P;1400;2000;L;9,2;13,3;L;
NORD-EST;VENETO;PD;5028060;D3AA; ;G224;PADOVA;D;D3;PD00002091;6;Uffici;NORMALE;P;1200;1550;L;6,6;8,7;L;
NORD-EST;VENETO;PD;5028060;D3AA; ;G224;PADOVA;D;D4;PD00002092;20;Abitazioni civili;NORMALE;P;950;1350;L;4,8;6,5;L;
NORD-EST;VENETO;PD;5028060;D3AA; ;G224;PADOVA;D;D4;PD00002092;20;Abitazioni civili;OTTIMO; ;1400;1800;L;;;;
NORD-EST;VENETO;PD;5028060;D3AA; ;G224;PADOVA;D;D4;PD00002092;21;Abitazioni di tipo economico;NORMALE;P;850;1150;L;4,2;5,4;L;
NORD-EST;VENETO;PD;5028060;D3AA; ;G224;PADOVA;D;D4;PD00002092;13;Box;NORMALE;P;650;800;L;3,2;4,2;L;
NORD-EST;VENETO;PD;5028060;D3AA; ;G224;PADOVA;D;D4;PD00002092;1;Ville e Villini;NORMALE;P;1300;1550;L;5,1;6;L;
NORD-EST;VENETO;PD;5028060;D3AA; ;G224;PADOVA;D;D4;PD00002092;5;Negozi;NORMALE;P;1500;1900;L;8,5;11,5;L;
NORD-EST;VENETO;PD;5028060;D3AA; ;G224;PADOVA;D;D4;PD00002092;5;Negozi;OTTIMO; ;1800;2200;L;;;;
NORD-EST;VENETO;PD;5028060;D3AA; ;G224;PADOVA;D;D4;PD00002092;6;Uffici;NORMALE;P;1250;1650;L;6,5;8,3;L;
NORD-EST;VENETO;PD;5028060;D3AA; ;G224;PADOVA;D;D5;PD00002817;20;Abitazioni civili;OTTIMO; ;1550;1950;L;;;;
NORD-EST;VENETO;PD;5028060;D3AA; ;G224;PADOVA;D;D5;PD00002817;20;Abitazioni civili;NORMALE;P;1050;1400;L;5;6,4;L;
NORD-EST;VENETO;PD;5028060;D3AA; ;G224;PADOVA;D;D5;PD00002817;21;Abitazioni di tipo economico;NORMALE;P;900;1100;L;4,3;4,7;L;
NORD-EST;VENETO;PD;5028060;D3AA; ;G224;PADOVA;D;D5;PD00002817;13;Box;NORMALE;P;700;860;L;3,8;4,3;L;
NORD-EST;VENETO;PD;5028060;D3AA; ;G224;PADOVA;D;D5;PD00002817;1;Ville e Villini;NORMALE;P;1300;1600;L;4,7;5,2;L;
NORD-EST;VENETO;PD;5028060;D3AA; ;G224;PADOVA;D;D5;PD00002817;5;Negozi;NORMALE;P;1550;2000;L;8;11;L;
NORD-EST;VENETO;PD;5028060;D3AA; ;G224;PADOVA;D;D5;PD00002817;6;Uffici;NORMALE;P;1300;1500;L;6,2;7,6;L;
NORD-EST;VENETO;PD;5028060;D3AA; ;G224;PADOVA;D;D6;PD00002819;20;Abitazioni civili;OTTIMO; ;1450;1950;L;;;;
NORD-EST;VENETO;PD;5028060;D3AA; ;G224;PADOVA;D;D6;PD00002819;20;Abitazioni civili;NORMALE;P;1000;1300;L;4,7;6,2;L;
NORD-EST;VENETO;PD;5028060;D3AA; ;G224;PADOVA;D;D6;PD00002819;21;Abitazioni di tipo economico;NORMALE;P;900;1150;L;4,3;4,7;L;
NORD-EST;VENETO;PD;5028060;D3AA; ;G224;PADOVA;D;D6;PD00002819;13;Box;NORMALE;P;700;860;L;3,8;4,3;L;
NORD-EST;VENETO;PD;5028060;D3AA; ;G224;PADOVA;D;D6;PD00002819;1;Ville e Villini;NORMALE;P;1300;1600;L;4,7;5,2;L;
NORD-EST;VENETO;PD;5028060;D3AA; ;G224;PADOVA;D;D6;PD00002819;5;Negozi;NORMALE;P;1550;2000;L;8;11;L;
NORD-EST;VENETO;PD;5028060;D3AA; ;G224;PADOVA;D;D6;PD00002819;6;Uffici;NORMALE;P;1300;1500;L;6,2;7,6;L;
NORD-EST;VENETO;PD;5028060;D3AA; ;G224;PADOVA;D;D7;PD00002830;20;Abitazioni civili;OTTIMO; ;1400;1900;L;;;;
NORD-EST;VENETO;PD;5028060;D3AA; ;G224;PADOVA;D;D7;PD00002830;20;Abitazioni civili;NORMALE;P;900;1150;L;4,7;6,5;L;
NORD-EST;VENETO;PD;5028060;D3AA; ;G224;PADOVA;D;D7;PD00002830;21;Abitazioni di tipo economico;NORMALE;P;750;1000;L;4,3;5;L;
NORD-EST;VENETO;PD;5028060;D3AA; ;G224;PADOVA;D;D7;PD00002830;13;Box;NORMALE;P;700;900;L;4,5;6;L;
NORD-EST;VENETO;PD;5028060;D3AA; ;G224;PADOVA;D;D7;PD00002830;1;Ville e Villini;NORMALE;P;1250;1550;L;4,5;6;L;
NORD-EST;VENETO;PD;5028060;D3AA; ;G224;PADOVA;D;D7;PD00002830;5;Negozi;NORMALE;P;1250;1650;L;8;11;L;
NORD-EST;VENETO;PD;5028060;D3AA; ;G224;PADOVA;D;D7;PD00002830;6;Uffici;NORMALE;P;1000;1350;L;6,3;8;L;
NORD-EST;VENETO;PD;5028060;D3AA; ;G224;PADOVA;D;D8;PD00002850;20;Abitazioni civili;OTTIMO; ;1800;2750;L;7;9,5;L;
NORD-EST;VENETO;PD;5028060;D3AA; ;G224;PADOVA;D;D8;PD00002850;20;Abitazioni civili;NORMALE;P;1300;1800;L;6,5;9;L;
NORD-EST;VENETO;PD;5028060;D3AA; ;G224;PADOVA;D;D8;PD00002850;21;Abitazioni di tipo economico;NORMALE;P;1150;1400;L;5,8;7,2;L;
NORD-EST;VENETO;PD;5028060;D3AA; ;G224;PADOVA;D;D8;PD00002850;13;Box;NORMALE;P;1200;1500;L;6;7,5;L;
NORD-EST;VENETO;PD;5028060;D3AA; ;G224;PADOVA;D;D8;PD00002850;1;Ville e Villini;NORMALE;P;1800;2300;L;6,6;8;L;
NORD-EST;VENETO;PD;5028060;D3AA; ;G224;PADOVA;D;D8;PD00002850;5;Negozi;OTTIMO;P;1700;2550;L;9;15,5;L;
NORD-EST;VENETO;PD;5028060;D3AA; ;G224;PADOVA;D;D8;PD00002850;6;Uffici;NORMALE;P;1450;1950;L;6,9;9;L;
NORD-EST;VENETO;PD;5028060;D3AA; ;G224;PADOVA;E;E1;PD00000027;20;Abitazioni civili;OTTIMO; ;1450;1900;L;;;;
NORD-EST;VENETO;PD;5028060;D3AA; ;G224;PADOVA;E;E1;PD00000027;20;Abitazioni civili;NORMALE;P;1000;1350;L;4,6;5,6;L;
NORD-EST;VENETO;PD;5028060;D3AA; ;G224;PADOVA;E;E1;PD00000027;21;Abitazioni di tipo economico;NORMALE;P;900;1100;L;3,6;4,6;L;
NORD-EST;VENETO;PD;5028060;D3AA; ;G224;PADOVA;E;E1;PD00000027;13;Box;NORMALE;P;700;900;L;3,5;4,5;L;
NORD-EST;VENETO;PD;5028060;D3AA; ;G224;PADOVA;E;E1;PD00000027;1;Ville e Villini;NORMALE;P;1150;1400;L;4,3;5,5;L;
NORD-EST;VENETO;PD;5028060;D3AA; ;G224;PADOVA;E;E1;PD00000027;5;Negozi;NORMALE;P;1500;1800;L;7,5;10;L;
NORD-EST;VENETO;PD;5028060;D3AA; ;G224;PADOVA;E;E1;PD00000027;6;Uffici;NORMALE;P;1200;1400;L;4,4;5,4;L;
NORD-EST;VENETO;PD;5028060;D3AA; ;G224;PADOVA;E;E2;PD00000028;6;Uffici;NORMALE;P;900;1250;L;5,2;7,4;L;
NORD-EST;VENETO;PD;5028060;D3AA; ;G224;PADOVA;E;E2;PD00000028;6;Uffici;OTTIMO; ;1200;1650;L;6,8;11;L;
NORD-EST;VENETO;PD;5028060;D3AA; ;G224;PADOVA;E;E2;PD00000028;8;Capannoni industriali;NORMALE;P;430;630;L;4;5;L;
NORD-EST;VENETO;PD;5028060;D3AA; ;G224;PADOVA;E;E2;PD00000028;7;Capannoni tipici;NORMALE;P;450;650;L;4,4;5,5;L;
NORD-EST;VENETO;PD;5028060;D3AA; ;G224;PADOVA;E;E3;PD00002831;20;Abitazioni civili;OTTIMO; ;1400;1850;L;;;;
NORD-EST;VENETO;PD;5028060;D3AA; ;G224;PADOVA;E;E3;PD00002831;20;Abitazioni civili;NORMALE;P;1100;1450;L;4,6;5,6;L;
NORD-EST;VENETO;PD;5028060;D3AA; ;G224;PADOVA;E;E3;PD00002831;21;Abitazioni di tipo economico;NORMALE;P;950;1200;L;3,6;4,6;L;
NORD-EST;VENETO;PD;5028060;D3AA; ;G224;PADOVA;E;E3;PD00002831;13;Box;NORMALE;P;700;900;L;3,5;4,5;L;
NORD-EST;VENETO;PD;5028060;D3AA; ;G224;PADOVA;E;E3;PD00002831;1;Ville e Villini;NORMALE;P;1150;1400;L;4,3;5,5;L;
NORD-EST;VENETO;PD;5028060;D3AA; ;G224;PADOVA;E;E3;PD00002831;5;Negozi;NORMALE;P;1500;1800;L;7,5;10;L;
NORD-EST;VENETO;PD;5028060;D3AA; ;G224;PADOVA;E;E3;PD00002831;6;Uffici;NORMALE;P;1200;1400;L;4,4;5,4;L;
NORD-EST;VENETO;PD;5028060;D3AA; ;G224;PADOVA;R;R1;PD00001568;20;Abitazioni civili;OTTIMO; ;1450;1950;L;;;;
NORD-EST;VENETO;PD;5028060;D3AA; ;G224;PADOVA;R;R1;PD00001568;20;Abitazioni civili;NORMALE;P;1200;1600;L;4,6;5,6;L;
NORD-EST;VENETO;PD;5028060;D3AA; ;G224;PADOVA;R;R1;PD00001568;21;Abitazioni di tipo economico;NORMALE;P;1000;1200;L;3,6;4,6;L;
NORD-EST;VENETO;PD;5028060;D3AA; ;G224;PADOVA;R;R1;PD00001568;13;Box;NORMALE;P;830;1000;L;3,5;4,5;L;
NORD-EST;VENETO;PD;5028060;D3AA; ;G224;PADOVA;R;R1;PD00001568;1;Ville e Villini;NORMALE;P;1150;1400;L;4,3;5,5;L;
NORD-EST;VENETO;PD;5028060;D3AA; ;G224;PADOVA;R;R1;PD00001568;5;Negozi;NORMALE;P;1500;1800;L;7,5;10;L;
NORD-EST;VENETO;PD;5028060;D3AA; ;G224;PADOVA;R;R1;PD00001568;6;Uffici;NORMALE;P;1200;1400;L;4,4;5,4;L;
