_id,AnnoA,CorsoTIPO,ClasseNUMERO,ClasseNOME,SESSO,Isc
616,2021/2022,Laurea Magistrale - dm 270/04,LM-05,Archivistica e biblioteconomia,M,52
617,2021/2022,Laurea Magistrale - dm 270/04,LM-55,Scienze cognitive,M,50
618,2021/2022,Laurea Magistrale - dm 270/04,LM-79,Scienze geofisiche,M,49
619,2021/2022,Laurea Magistrale - dm 270/04,LM-93,Teorie e metodologie dell'e-learning e della media education,M,41
620,2021/2022,Laurea Magistrale - dm 270/04,LM-34,Ingegneria navale,F,39
621,2021/2022,Laurea Magistrale - dm 270/04,LM-66,Sicurezza informatica,F,38
622,2021/2022,Laurea Magistrale - dm 270/04,LM/GASTR,Scienze economiche  e sociali della gastronomia,F,33
623,2021/2022,Laurea Magistrale - dm 270/04,LM-72,Scienze e tecnologie della navigazione,M,31
624,2021/2022,Laurea - dm 270/04,L-P01,Professioni tecniche per l'edilizia e il territorio,F,31
625,2021/2022,Laurea - dm 270/04,L-43,Diagnostica per la conservazione dei beni culturali,M,30
626,2021/2022,Laurea Magistrale - dm 270/04,LM/GASTR,Scienze economiche  e sociali della gastronomia,M,24
627,2021/2022,Laurea Magistrale - dm 270/04,LM-11,Scienze per la conservazione dei beni culturali,M,23
628,2021/2022,Laurea - dm 270/04,L-P02,"Professioni tecniche agrarie, alimentari e forestali",F,22
629,2021/2022,Laurea Magistrale - dm 270/04,LM-79,Scienze geofisiche,F,21
630,2021/2022,Laurea Magistrale - dm 270/04,LM-72,Scienze e tecnologie della navigazione,F,20
631,2021/2022,Laurea Magistrale a Ciclo Unico - dm 270/04,LMR/02,Conservazione e restauro dei beni culturali,M,13
632,2021/2022,Laurea - dm 270/04,L-P03,Professioni tecniche industriali e dellinformazione,F,12
633,2020/2021,Laurea - dm 270/04,L-18,Scienze dell'economia e della gestione aziendale,M,25468
634,2020/2021,Laurea - dm 270/04,L-09,Ingegneria industriale,M,19306
635,2020/2021,Laurea - dm 270/04,L-18,Scienze dell'economia e della gestione aziendale,F,17864
636,2020/2021,Laurea - dm 270/04,L-19,Scienze dell'educazione e della formazione,F,17423
637,2020/2021,Laurea - dm 270/04,L-08,Ingegneria dell'informazione,M,13899
638,2020/2021,Laurea - dm 270/04,L-24,Scienze e tecniche psicologiche,F,13380
639,2020/2021,Laurea - dm 270/04,L/SNT1,"Professioni sanitarie, infermieristiche e professione sanitaria ostetrica",F,12290
640,2020/2021,Laurea Magistrale a Ciclo Unico - dm 270/04,LMG/01,Magistrali in giurisprudenza,F,11649
641,2020/2021,Laurea - dm 270/04,L-22,Scienze delle attività motorie e sportive,M,11480
642,2020/2021,Laurea - dm 270/04,L-11,Lingue e culture moderne,F,10925
643,2020/2021,Laurea Magistrale - dm 270/04,LM-77,Scienze economico-aziendali,F,10299
644,2020/2021,Laurea - dm 270/04,L-20,Scienze della comunicazione,F,10050
645,2020/2021,Laurea Magistrale - dm 270/04,LM-77,Scienze economico-aziendali,M,10009
646,2020/2021,Laurea - dm 270/04,L-12,Mediazione linguistica,F,8780
647,2020/2021,Laurea Magistrale - dm 270/04,LM-51,Psicologia,F,8241
648,2020/2021,Laurea - dm 270/04,L-31,Scienze e tecnologie informatiche,M,8165
649,2020/2021,Laurea Magistrale a Ciclo Unico - dm 270/04,LM-41,Medicina e chirurgia,F,8022
650,2020/2021,Laurea - dm 270/04,L-10,Lettere,F,7727
651,2020/2021,Laurea - dm 270/04,L-33,Scienze economiche,M,7566
652,2020/2021,Laurea - dm 270/04,L-13,Scienze biologiche,F,7070
653,2020/2021,Laurea Magistrale a Ciclo Unico - dm 270/04,LMG/01,Magistrali in giurisprudenza,M,6680
654,2020/2021,Laurea - dm 270/04,L-36,Scienze politiche e delle relazioni internazionali,M,6347
655,2020/2021,Laurea - dm 270/04,L-36,Scienze politiche e delle relazioni internazionali,F,6117
656,2020/2021,Laurea Magistrale a Ciclo Unico - dm 270/04,LM-85 bis,Scienze della formazione primaria,F,6003
657,2020/2021,Laurea - dm 270/04,L-09,Ingegneria industriale,F,5912
658,2020/2021,Laurea Magistrale - dm 270/04,LM-85,Scienze pedagogiche,F,5893
659,2020/2021,Laurea Magistrale a Ciclo Unico - dm 270/04,LM-41,Medicina e chirurgia,M,5500
660,2020/2021,Laurea Magistrale a Ciclo Unico - dm 270/04,LM-13ante22,Farmacia e farmacia industriale,F,5310
661,2020/2021,Laurea - dm 270/04,L-02,Biotecnologie,F,5268
662,2020/2021,Laurea - dm 270/04,L-20,Scienze della comunicazione,M,5241
663,2020/2021,Laurea - dm 270/04,L-14,Scienze dei servizi giuridici,F,5175
664,2020/2021,Laurea - dm 270/04,L-33,Scienze economiche,F,5060
665,2020/2021,Laurea - dm 270/04,L-22,Scienze delle attività motorie e sportive,F,4696
666,2020/2021,Laurea - dm 270/04,L-14,Scienze dei servizi giuridici,M,4696
667,2020/2021,Laurea - dm 270/04,L-01,Beni culturali,F,4505
668,2020/2021,Laurea - dm 270/04,L/SNT1,"Professioni sanitarie, infermieristiche e professione sanitaria ostetrica",M,4095
669,2020/2021,Laurea - dm 270/04,L-39,Servizio sociale,F,4029
670,2020/2021,Laurea Magistrale - dm 270/04,LM-56,Scienze dell'economia,M,3865
671,2020/2021,Laurea Magistrale - dm 270/04,LM-33,Ingegneria meccanica,M,3820
672,2020/2021,Laurea - dm 270/04,L-24,Scienze e tecniche psicologiche,M,3771
673,2020/2021,Laurea - dm 270/04,L-08,Ingegneria dell'informazione,F,3727
674,2020/2021,Laurea - dm 270/04,L-07,Ingegneria civile e ambientale,M,3657
675,2020/2021,Laurea Magistrale - dm 270/04,LM-37,Lingue e letterature moderne europee e americane,F,3490
676,2020/2021,Laurea Magistrale - dm 270/04,LM-14,Filologia moderna,F,3336
677,2020/2021,Laurea Magistrale - dm 270/04,LM-32,Ingegneria informatica,M,3322
678,2020/2021,Laurea - dm 270/04,L-03,"Discipline delle arti figurative, della musica, dello spettacolo e della moda",F,3316
679,2020/2021,Laurea Magistrale - dm 270/04,LM-06,Biologia,F,3292
680,2020/2021,Laurea Magistrale - dm 270/04,LM-38,Lingue moderne per la comunicazione e la cooperazione internazionale,F,3259
681,2020/2021,Laurea - dm 270/04,L/SNT2,Professioni sanitarie della riabilitazione,F,3187
682,2020/2021,Laurea Magistrale - dm 270/04,LM-31,Ingegneria gestionale,M,3161
683,2020/2021,Laurea - dm 270/04,L-10,Lettere,M,3140
684,2020/2021,Laurea - dm 270/04,L-13,Scienze biologiche,M,3108
685,2020/2021,Laurea Magistrale - dm 270/04,LM-56,Scienze dell'economia,F,3099
686,2020/2021,Laurea - dm 270/04,L-11,Lingue e culture moderne,M,2908
687,2020/2021,Laurea - dm 270/04,L-40,Sociologia,F,2874
688,2020/2021,Laurea - dm 270/04,L-25,Scienze e tecnologie agrarie e forestali,M,2825
689,2020/2021,Laurea - dm 270/04,L-04,Disegno industriale,F,2681
690,2020/2021,Laurea - dm 270/04,L-30,Scienze e tecnologie fisiche,M,2477
691,2020/2021,Laurea Magistrale - dm 270/04,LM-52,Relazioni internazionali,F,2400
692,2020/2021,Laurea - dm 270/04,L-05,Filosofia,F,2383
693,2020/2021,Laurea - dm 270/04,L-05,Filosofia,M,2346
694,2020/2021,Laurea - dm 270/04,L/SNT3,Professioni sanitarie tecniche,F,2274
695,2020/2021,Laurea Magistrale - dm 270/04,LM-67,Scienze e tecniche delle attività motorie preventive e adattate,M,2242
696,2020/2021,Laurea - dm 270/04,L-02,Biotecnologie,M,2215
697,2020/2021,Laurea Magistrale - dm 270/04,LM-59,"Scienze della comunicazione pubblica, d'impresa e pubblicità",F,2180
698,2020/2021,Laurea - dm 270/04,L-42,Storia,M,2154
699,2020/2021,Laurea - dm 270/04,L-15,Scienze del turismo,F,2125
700,2020/2021,Laurea Magistrale - dm 270/04,LM-39,Linguistica,F,2095
701,2020/2021,Laurea - dm 270/04,L-27,Scienze e tecnologie chimiche,M,2068
702,2020/2021,Laurea Magistrale - dm 270/04,LM-09,"Biotecnologie mediche, veterinarie e farmaceutiche",F,1991
703,2020/2021,Laurea Magistrale - dm 270/04,LM-61,Scienze della nutrizione umana,F,1982
704,2020/2021,Laurea - dm 270/04,L-12,Mediazione linguistica,M,1977
705,2020/2021,Laurea - dm 270/04,L-29,Scienze e tecnologie farmaceutiche,F,1911
706,2020/2021,Laurea Magistrale a Ciclo Unico - dm 270/04,LM-13ante22,Farmacia e farmacia industriale,M,1864
707,2020/2021,Laurea - dm 270/04,L-32,Scienze e tecnologie per l'ambiente e la natura,F,1863
708,2020/2021,Laurea Magistrale - dm 270/04,LM-51,Psicologia,M,1863
709,2020/2021,Laurea Magistrale - dm 270/04,LM-47,Organizzazione e gestione dei servizi per lo sport e le attività motorie,M,1860
710,2020/2021,Laurea Magistrale - dm 270/04,LM-89,Storia dell'arte,F,1811
711,2020/2021,Laurea Magistrale - dm 270/04,LM-87,Servizio sociale e politiche sociali,F,1798
712,2020/2021,Laurea Magistrale - dm 270/04,LM-04,Architettura e ingegneria edile-architettura,F,1771
713,2020/2021,Laurea - dm 270/04,L-27,Scienze e tecnologie chimiche,F,1764
714,2020/2021,Laurea - dm 270/04,L-03,"Discipline delle arti figurative, della musica, dello spettacolo e della moda",M,1748
715,2020/2021,Laurea - dm 270/04,L/SNT2,Professioni sanitarie della riabilitazione,M,1732
716,2020/2021,Laurea - dm 270/04,L-35,Scienze matematiche,M,1722
717,2020/2021,Laurea Magistrale - dm 270/04,LM-31,Ingegneria gestionale,F,1711
718,2020/2021,Laurea - dm 270/04,L-04,Disegno industriale,M,1698
719,2020/2021,Laurea - dm 270/04,L-26,Scienze e tecnologie alimentari,F,1656
720,2020/2021,Laurea Magistrale - dm 270/04,LM-18,Informatica,M,1643
721,2020/2021,Laurea - dm 270/04,L-32,Scienze e tecnologie per l'ambiente e la natura,M,1625
722,2020/2021,Laurea - dm 270/04,L-26,Scienze e tecnologie alimentari,M,1621
723,2020/2021,Laurea - dm 270/04,L-17,Scienze dell'architettura,F,1594
724,2020/2021,Laurea - dm 270/04,L-35,Scienze matematiche,F,1588
725,2020/2021,Laurea - dm 270/04,L-01,Beni culturali,M,1564
726,2020/2021,Laurea Magistrale - dm 270/04,LM-67,Scienze e tecniche delle attività motorie preventive e adattate,F,1541
727,2020/2021,Laurea - dm 270/04,L-19,Scienze dell'educazione e della formazione,M,1496
728,2020/2021,Laurea Magistrale - dm 270/04,LM-23,Ingegneria civile,M,1445
729,2020/2021,Laurea Magistrale - dm 270/04,LM-52,Relazioni internazionali,M,1384
730,2020/2021,Laurea - dm 270/04,L-07,Ingegneria civile e ambientale,F,1346
731,2020/2021,Laurea Magistrale - dm 270/04,LM-21,Ingegneria biomedica,F,1338
732,2020/2021,Laurea Magistrale a Ciclo Unico - dm 270/04,LM-04cu,Architettura e ingegneria edile-architettura (quinquennale),F,1334
733,2020/2021,Laurea - dm 270/04,L-16,Scienze dell'amministrazione e dell'organizzazione,F,1325
734,2020/2021,Laurea - dm 270/04,L-30,Scienze e tecnologie fisiche,F,1268
735,2020/2021,Laurea Magistrale - dm 270/04,LM-50,Programmazione e gestione dei servizi educativi,F,1248
736,2020/2021,Laurea - dm 270/04,L/SNT3,Professioni sanitarie tecniche,M,1242
737,2020/2021,Laurea - dm 270/04,L-42,Storia,F,1229
738,2020/2021,Laurea Magistrale - dm 270/04,LM-06,Biologia,M,1227
739,2020/2021,Laurea - dm 270/04,L-31,Scienze e tecnologie informatiche,F,1221
740,2020/2021,Laurea - dm 270/04,L-38,Scienze zootecniche e tecnologie delle produzioni animali,F,1216
741,2020/2021,Laurea Magistrale - dm 270/04,LM-17,Fisica,M,1212
742,2020/2021,Laurea Magistrale - dm 270/04,LM-20,Ingegneria aerospaziale e astronautica,M,1203
743,2020/2021,Laurea - dm 270/04,L-40,Sociologia,M,1157
744,2020/2021,Laurea Magistrale - dm 270/04,LM-04,Architettura e ingegneria edile-architettura,M,1153
745,2020/2021,Laurea Magistrale - dm 270/04,LM-29,Ingegneria elettronica,M,1150
746,2020/2021,Laurea - dm 270/04,L-17,Scienze dell'architettura,M,1106
747,2020/2021,Laurea - dm 270/04,L-25,Scienze e tecnologie agrarie e forestali,F,1092
748,2020/2021,Laurea Magistrale - dm 270/04,LM-65,Scienze dello spettacolo e produzione multimediale,F,1073
749,2020/2021,Laurea Magistrale - dm 270/04,LM-14,Filologia moderna,M,1071
750,2020/2021,Laurea - dm 270/04,L-16,Scienze dell'amministrazione e dell'organizzazione,M,1069
751,2020/2021,Laurea Magistrale - dm 270/04,LM-84,Scienze storiche,M,1068
752,2020/2021,Laurea Magistrale - dm 270/04,LM/SNT1,Scienze infermieristiche e ostetriche,F,1055
753,2020/2021,Laurea Magistrale - dm 270/04,LM-12,Design,F,1032
754,2020/2021,Laurea Magistrale - dm 270/04,LM-78,Scienze filosofiche,M,1018
755,2020/2021,Laurea Magistrale - dm 270/04,LM-94,Traduzione specialistica e interpretariato,F,1017
756,2020/2021,Laurea - dm 270/04,L-41,Statistica,M,1007
757,2020/2021,Laurea Magistrale - dm 270/04,LM-25,Ingegneria dell'automazione,M,999
758,2020/2021,Laurea Magistrale - dm 270/04,LM-30,Ingegneria energetica e nucleare,M,972
759,2020/2021,Laurea Magistrale - dm 270/04,LM-63,Scienze delle pubbliche amministrazioni,F,971
760,2020/2021,Laurea Magistrale - dm 270/04,LM-78,Scienze filosofiche,F,960
761,2020/2021,Laurea Magistrale - dm 270/04,LM-68,Scienze e tecniche dello sport,M,955
762,2020/2021,Laurea Magistrale - dm 270/04,LM-26,Ingegneria della sicurezza,M,937
763,2020/2021,Laurea Magistrale - dm 270/04,LM-19,Informazione e sistemi editoriali,F,926
764,2020/2021,Laurea Magistrale - dm 270/04,LM-61,Scienze della nutrizione umana,M,919
765,2020/2021,Laurea Magistrale - dm 270/04,LM-16,Finanza,M,909
766,2020/2021,Laurea Magistrale - dm 270/04,LM-21,Ingegneria biomedica,M,900
767,2020/2021,Laurea Magistrale - dm 270/04,LM-69,Scienze e tecnologie agrarie,M,892
768,2020/2021,Laurea Magistrale a Ciclo Unico - dm 270/04,LM-04cu,Architettura e ingegneria edile-architettura (quinquennale),M,878
769,2020/2021,Laurea Magistrale - dm 270/04,LM-47,Organizzazione e gestione dei servizi per lo sport e le attività motorie,F,853
770,2020/2021,Laurea Magistrale - dm 270/04,LM-92,Teorie della comunicazione,F,849
771,2020/2021,Laurea Magistrale - dm 270/04,LM-59,"Scienze della comunicazione pubblica, d'impresa e pubblicità",M,844
772,2020/2021,Laurea - dm 270/04,L-15,Scienze del turismo,M,834
773,2020/2021,Laurea Magistrale - dm 270/04,LM-88,Sociologia e ricerca sociale,F,831
774,2020/2021,Laurea Magistrale - dm 270/04,LM-70,Scienze e tecnologie alimentari,F,808
775,2020/2021,Laurea Magistrale - dm 270/04,LM-54,Scienze chimiche,F,798
776,2020/2021,Laurea Magistrale - dm 270/04,LM-54,Scienze chimiche,M,753
777,2020/2021,Laurea Magistrale - dm 270/04,LM-09,"Biotecnologie mediche, veterinarie e farmaceutiche",M,746
778,2020/2021,Laurea Magistrale - dm 270/04,LM-84,Scienze storiche,F,712
779,2020/2021,Laurea Magistrale a Ciclo Unico - dm 270/04,LM-42,Medicina veterinaria,F,694
780,2020/2021,Laurea Magistrale - dm 270/04,LM-40,Matematica,F,693
781,2020/2021,Laurea Magistrale - dm 270/04,LM-63,Scienze delle pubbliche amministrazioni,M,689
782,2020/2021,Laurea - dm 270/04,L-29,Scienze e tecnologie farmaceutiche,M,675
783,2020/2021,Laurea Magistrale - dm 270/04,LM-49,Progettazione e gestione dei sistemi turistici,F,674
784,2020/2021,Laurea Magistrale - dm 270/04,LM-40,Matematica,M,671
785,2020/2021,Laurea - dm 270/04,L/GASTR,"Scienze, culture e politiche della gastronomia",M,655
786,2020/2021,Laurea Magistrale - dm 270/04,LM-62,Scienze della politica,F,649
787,2020/2021,Laurea Magistrale - dm 270/04,LM-32,Ingegneria informatica,F,642
788,2020/2021,Laurea Magistrale - dm 270/04,LM-02,Archeologia,F,622
789,2020/2021,Laurea Magistrale - dm 270/04,LM-23,Ingegneria civile,F,616
790,2020/2021,Laurea - dm 270/04,L-34,Scienze geologiche,M,615
791,2020/2021,Laurea - dm 270/04,L/GASTR,"Scienze, culture e politiche della gastronomia",F,609
792,2020/2021,Laurea Magistrale a Ciclo Unico - dm 270/04,LM-46,Odontoiatria e protesi dentaria,F,608
793,2020/2021,Laurea - dm 270/04,L-41,Statistica,F,602
794,2020/2021,Laurea Magistrale - dm 270/04,LM-62,Scienze della politica,M,597
795,2020/2021,Laurea Magistrale - dm 270/04,LM-37,Lingue e letterature moderne europee e americane,M,595
796,2020/2021,Laurea Magistrale - dm 270/04,LM-81,Scienze per la cooperazione allo sviluppo,F,591
797,2020/2021,Laurea Magistrale - dm 270/04,LM-22,Ingegneria chimica,M,589
798,2020/2021,Laurea Magistrale - dm 270/04,LM-12,Design,M,585
799,2020/2021,Laurea - dm 270/04,L-23,Scienze e tecniche dell'edilizia,M,580
800,2020/2021,Laurea Magistrale - dm 270/04,LM-35,Ingegneria per l'ambiente e il territorio,M,580
801,2020/2021,Laurea Magistrale - dm 270/04,LM-33,Ingegneria meccanica,F,567
802,2020/2021,Laurea Magistrale a Ciclo Unico - dm 270/04,LM-46,Odontoiatria e protesi dentaria,M,564
803,2020/2021,Laurea Magistrale - dm 270/04,LM-28,Ingegneria elettrica,M,563
804,2020/2021,Laurea Magistrale - dm 270/04,LM-22,Ingegneria chimica,F,561
805,2020/2021,Laurea Magistrale - dm 270/04,LM-70,Scienze e tecnologie alimentari,M,559
806,2020/2021,Laurea Magistrale - dm 270/04,LM-65,Scienze dello spettacolo e produzione multimediale,M,555
807,2020/2021,Laurea Magistrale - dm 270/04,LM-85,Scienze pedagogiche,M,554
808,2020/2021,Laurea Magistrale - dm 270/04,LM-57,Scienze dell'educazione degli adulti e della formazione continua,F,534
809,2020/2021,Laurea - dm 270/04,L-37,"Scienze sociali per la cooperazione, lo sviluppo e la pace",M,528
810,2020/2021,Laurea - dm 270/04,L/SNT4,Professioni sanitarie della prevenzione,F,525
811,2020/2021,Laurea Magistrale - dm 270/04,LM-01,Antropologia culturale ed etnologia,F,511
812,2020/2021,Laurea Magistrale - dm 270/04,LM-27,Ingegneria delle telecomunicazioni,M,501
813,2020/2021,Laurea - dm 270/04,L-37,"Scienze sociali per la cooperazione, lo sviluppo e la pace",F,495
814,2020/2021,Laurea Magistrale - dm 270/04,LM-91,Tecniche e metodi per la societa dell'informazione,M,491
815,2020/2021,Laurea Magistrale - dm 270/04,LM-38,Lingue moderne per la comunicazione e la cooperazione internazionale,M,486
816,2020/2021,Laurea Magistrale - dm 270/04,LM/SNT1,Scienze infermieristiche e ostetriche,M,479
817,2020/2021,Laurea Magistrale - dm 270/04,LM-53ante21,Scienza e ingegneria dei materiali,M,475
818,2020/2021,Laurea Magistrale - dm 270/04,LM-82,Scienze statistiche,M,474
819,2020/2021,Laurea Magistrale - dm 270/04,LM-17,Fisica,F,465
820,2020/2021,Laurea Magistrale - dm 270/04,LM-15,"Filologia, letterature e storia dell'antichità",F,461
821,2020/2021,Laurea Magistrale - dm 270/04,LM/SNT2,Scienze riabilitative delle professioni sanitarie,F,454
822,2020/2021,Laurea Magistrale - dm 270/04,LM-08,Biotecnologie industriali,F,452
823,2020/2021,Laurea Magistrale a Ciclo Unico - dm 270/04,LM-85 bis,Scienze della formazione primaria,M,447
824,2020/2021,Laurea Magistrale - dm 270/04,LM-44,Modellistica matematico-fisica per l'ingegneria,M,446
825,2020/2021,Laurea - dm 270/04,L-39,Servizio sociale,M,433
826,2020/2021,Laurea Magistrale - dm 270/04,LM-35,Ingegneria per l'ambiente e il territorio,F,425
827,2020/2021,Laurea - dm 270/04,L-28,Scienze e tecnologie della navigazione,M,421
828,2020/2021,Laurea Magistrale - dm 270/04,LM-69,Scienze e tecnologie agrarie,F,416
829,2020/2021,Laurea Magistrale - dm 270/04,LM-16,Finanza,F,415
830,2020/2021,Laurea Magistrale - dm 270/04,LM-74,Scienze e tecnologie geologiche,M,412
831,2020/2021,Laurea - dm 270/04,L/SNT4,Professioni sanitarie della prevenzione,M,411
832,2020/2021,Laurea - dm 270/04,L-38,Scienze zootecniche e tecnologie delle produzioni animali,M,406
833,2020/2021,Laurea Magistrale - dm 270/04,LM-76,Scienze economiche per l'ambiente e la cultura,F,405
834,2020/2021,Laurea Magistrale - dm 270/04,LM-24,Ingegneria dei sistemi edilizi,M,396
835,2020/2021,Laurea Magistrale - dm 270/04,LM-39,Linguistica,M,382
836,2020/2021,Laurea Magistrale - dm 270/04,LM-75,Scienze e tecnologie per l'ambiente e il territorio,F,375
837,2020/2021,Laurea Magistrale - dm 270/04,LM-89,Storia dell'arte,M,372
838,2020/2021,Laurea Magistrale - dm 270/04,LM-82,Scienze statistiche,F,362
839,2020/2021,Laurea Magistrale - dm 270/04,LM-08,Biotecnologie industriali,M,352
840,2020/2021,Laurea Magistrale - dm 270/04,LM-19,Informazione e sistemi editoriali,M,336
841,2020/2021,Laurea Magistrale - dm 270/04,LM-36,Lingue e letterature dell'Africa e dell'Asia,F,335
842,2020/2021,Laurea Magistrale - dm 270/04,LM-68,Scienze e tecniche dello sport,F,333
843,2020/2021,Laurea Magistrale - dm 270/04,LM-88,Sociologia e ricerca sociale,M,331
844,2020/2021,Laurea Magistrale - dm 270/04,LM-02,Archeologia,M,323
845,2020/2021,Laurea - dm 270/04,L-23,Scienze e tecniche dell'edilizia,F,323
846,2020/2021,Laurea - dm 270/04,L/DS,Scienze della difesa e della sicurezza,M,320
847,2020/2021,Laurea Magistrale - dm 270/04,LM-24,Ingegneria dei sistemi edilizi,F,315
848,2020/2021,Laurea Magistrale - dm 270/04,LM-75,Scienze e tecnologie per l'ambiente e il territorio,M,314
849,2020/2021,Laurea Magistrale - dm 270/04,LM-20,Ingegneria aerospaziale e astronautica,F,308
850,2020/2021,Laurea Magistrale - dm 270/04,LM-92,Teorie della comunicazione,M,308
851,2020/2021,Laurea Magistrale - dm 270/04,LM-18,Informatica,F,304
852,2020/2021,Laurea Magistrale - dm 270/04,LM/SC-GIUR,Scienze Giuridiche,F,299
853,2020/2021,Laurea Magistrale - dm 270/04,LM/DS,Scienze della difesa e della sicurezza,M,295
854,2020/2021,Laurea - dm 270/04,L-34,Scienze geologiche,F,293
855,2020/2021,Laurea Magistrale - dm 270/04,LM-66,Sicurezza informatica,M,291
856,2020/2021,Laurea Magistrale - dm 270/04,LM-60,Scienze della natura,F,283
857,2020/2021,Laurea Magistrale - dm 270/04,LM-90,Studi europei,F,281
858,2020/2021,Laurea Magistrale - dm 270/04,LM-91,Tecniche e metodi per la societa dell'informazione,F,267
859,2020/2021,Laurea Magistrale - dm 270/04,LM/SNT3,Scienze delle professioni sanitarie tecniche,F,264
860,2020/2021,Laurea Magistrale - dm 270/04,LM-30,Ingegneria energetica e nucleare,F,262
861,2020/2021,Laurea Magistrale - dm 270/04,LM-53ante21,Scienza e ingegneria dei materiali,F,259
862,2020/2021,Laurea Magistrale - dm 270/04,LM-26,Ingegneria della sicurezza,F,254
863,2020/2021,Laurea Magistrale - dm 270/04,LM-74,Scienze e tecnologie geologiche,F,245
864,2020/2021,Laurea Magistrale - dm 270/04,LM-71,Scienze e tecnologie della chimica industriale,M,236
865,2020/2021,Laurea Magistrale - dm 270/04,LM-73,Scienze e tecnologie forestali ed ambientali,M,235
866,2020/2021,Laurea - dm 270/04,L-21,"Scienze della pianificazione territoriale, urbanistica, paesaggistica e ambientale",M,235
867,2020/2021,Laurea Magistrale a Ciclo Unico - dm 270/04,LM-42,Medicina veterinaria,M,233
868,2020/2021,Laurea Magistrale - dm 270/04,LM-15,"Filologia, letterature e storia dell'antichità",M,229
869,2020/2021,Laurea Magistrale - dm 270/04,LM-86,Scienze zootecniche e tecnologie  animali,F,226
870,2020/2021,Laurea Magistrale - dm 270/04,LM-29,Ingegneria elettronica,F,208
871,2020/2021,Laurea - dm 270/04,L-21,"Scienze della pianificazione territoriale, urbanistica, paesaggistica e ambientale",F,208
872,2020/2021,Laurea Magistrale - dm 270/04,LM-25,Ingegneria dell'automazione,F,204
873,2020/2021,Laurea Magistrale - dm 270/04,LM-44,Modellistica matematico-fisica per l'ingegneria,F,200
874,2020/2021,Laurea Magistrale - dm 270/04,LM-83,Scienze statistiche attuariali e finanziarie,M,195
875,2020/2021,Laurea Magistrale - dm 270/04,LM/SNT3,Scienze delle professioni sanitarie tecniche,M,195
876,2020/2021,Laurea Magistrale - dm 270/04,LM-81,Scienze per la cooperazione allo sviluppo,M,193
877,2020/2021,Laurea Magistrale - dm 270/04,LM-87,Servizio sociale e politiche sociali,M,187
878,2020/2021,Laurea Magistrale - dm 270/04,LM-71,Scienze e tecnologie della chimica industriale,F,185
879,2020/2021,Laurea Magistrale - dm 270/04,LM-01,Antropologia culturale ed etnologia,M,184
880,2020/2021,Laurea Magistrale - dm 270/04,LM-27,Ingegneria delle telecomunicazioni,F,179
881,2020/2021,Laurea Magistrale - dm 270/04,LM-49,Progettazione e gestione dei sistemi turistici,M,177
882,2020/2021,Laurea Magistrale - dm 270/04,LM-60,Scienze della natura,M,177
883,2020/2021,Laurea Magistrale - dm 270/04,LM-03,Architettura del paesaggio,F,175
884,2020/2021,Laurea Magistrale - dm 270/04,LM-07,Biotecnologie agrarie,F,175
885,2020/2021,Laurea Magistrale - dm 270/04,LM-45,Musicologia e beni musicali,F,174
886,2020/2021,Laurea Magistrale - dm 270/04,LM-48,Pianificazione territoriale urbanistica e ambientale,F,167
887,2020/2021,Laurea Magistrale - dm 270/04,LM-90,Studi europei,M,166
888,2020/2021,Laurea Magistrale - dm 270/04,LM-94,Traduzione specialistica e interpretariato,M,165
889,2020/2021,Laurea Magistrale - dm 270/04,LM/SNT2,Scienze riabilitative delle professioni sanitarie,M,161
890,2020/2021,Laurea Magistrale - dm 270/04,LM-34,Ingegneria navale,M,154
891,2020/2021,Laurea Magistrale - dm 270/04,LM-73,Scienze e tecnologie forestali ed ambientali,F,152
892,2020/2021,Laurea Magistrale - dm 270/04,LM-48,Pianificazione territoriale urbanistica e ambientale,M,149
893,2020/2021,Laurea Magistrale - dm 270/04,LM-86,Scienze zootecniche e tecnologie  animali,M,144
894,2020/2021,Laurea Magistrale - dm 270/04,LM-05,Archivistica e biblioteconomia,F,144
895,2020/2021,Laurea - dm 270/04,L-43,Diagnostica per la conservazione dei beni culturali,F,138
896,2020/2021,Laurea - dm 270/04,L-28,Scienze e tecnologie della navigazione,F,135
897,2020/2021,Laurea Magistrale - dm 270/04,LM-43,Metodologie informatiche per le discipline umanistiche,F,133
898,2020/2021,Laurea Magistrale - dm 270/04,LM-76,Scienze economiche per l'ambiente e la cultura,M,132
899,2020/2021,Laurea Magistrale - dm 270/04,LM/SC-GIUR,Scienze Giuridiche,M,132
900,2020/2021,Laurea Magistrale - dm 270/04,LM-07,Biotecnologie agrarie,M,129
901,2020/2021,Laurea - dm 270/04,L-06,Geografia,M,126
902,2020/2021,Laurea Magistrale - dm 270/04,LM-80,Scienze geografiche,F,125
903,2020/2021,Laurea Magistrale - dm 270/04,LM-45,Musicologia e beni musicali,M,125
904,2020/2021,Laurea Magistrale - dm 270/04,LM-36,Lingue e letterature dell'Africa e dell'Asia,M,125
905,2020/2021,Laurea Magistrale - dm 270/04,LM-55,Scienze cognitive,F,124
906,2020/2021,Laurea - dm 270/04,L/DS,Scienze della difesa e della sicurezza,F,123
907,2020/2021,Laurea Magistrale - dm 270/04,LM-80,Scienze geografiche,M,120
908,2020/2021,Laurea - dm 270/04,L-06,Geografia,F,119
909,2020/2021,Laurea Magistrale - dm 270/04,LM/SNT4,Scienze delle professioni sanitarie della prevenzione,F,110
