DiplomaR,CorsoR,Iscritti
Marche,Lazio,2098
Marche,Liguria,29
Marche,Lombardia,2353
Marche,Marche,27700
Marche,Molise,7
Marche,Piemonte,611
Marche,Sardegna,5
Marche,Sicilia,13
Marche,Toscana,958
Marche,Trentino-Alto Adige,303
Marche,Umbria,1611
Marche,Veneto,1358
Molise,Abruzzo,1415
Molise,Campania,545
Molise,Emilia-Romagna,1014
Molise,Friuli Venezia Giulia,11
Molise,Lazio,1305
Molise,Liguria,5
Molise,Lombardia,417
Molise,Marche,359
Molise,Molise,3403
Molise,Piemonte,264
Molise,Puglia,102
Molise,Sicilia,5
Molise,Toscana,388
Molise,Trentino-Alto Adige,17
Molise,Umbria,141
Molise,Veneto,124
Piemonte,Abruzzo,139
Piemonte,Calabria,34
Piemonte,Campania,83
Piemonte,Emilia-Romagna,1538
Piemonte,Friuli Venezia Giulia,120
Piemonte,Lazio,945
Piemonte,Liguria,2428
Piemonte,Lombardia,10496
Piemonte,Marche,120
Piemonte,Molise,9
Piemonte,Piemonte,70223
Piemonte,Puglia,41
Piemonte,Sardegna,129
Piemonte,Sicilia,84
Piemonte,Toscana,696
Piemonte,Trentino-Alto Adige,189
Piemonte,Umbria,159
Piemonte,Valle D’Aosta,241
Piemonte,Veneto,935
Puglia,Abruzzo,3989
Puglia,Basilicata,1085
Puglia,Calabria,175
Puglia,Campania,1289
Puglia,Emilia-Romagna,8121
Puglia,Friuli Venezia Giulia,362
Puglia,Lazio,7442
Puglia,Liguria,158
Puglia,Lombardia,6847
Puglia,Marche,1820
Puglia,Molise,945
Puglia,Piemonte,3886
Puglia,Puglia,71351
Puglia,Sicilia,131
Puglia,Toscana,2974
Puglia,Trentino-Alto Adige,575
Puglia,Umbria,805
Puglia,Veneto,1554
Sardegna,Abruzzo,100
Sardegna,Campania,176
Sardegna,Emilia-Romagna,1536
Sardegna,Friuli Venezia Giulia,132
Sardegna,Lazio,1183
Sardegna,Liguria,182
Sardegna,Lombardia,1332
Sardegna,Marche,164
Sardegna,Piemonte,1292
Sardegna,Puglia,5
Sardegna,Sardegna,32300
Sardegna,Toscana,1342
Sardegna,Trentino-Alto Adige,96
Sardegna,Umbria,188
Sardegna,Veneto,741
Sconosciuta,Abruzzo,354
Sconosciuta,Basilicata,293
Sconosciuta,Calabria,1585
Sconosciuta,Campania,3563
Sconosciuta,Emilia-Romagna,5044
Sconosciuta,Friuli Venezia Giulia,395
Sconosciuta,Lazio,17494
Sconosciuta,Liguria,32
Sconosciuta,Lombardia,16459
Sconosciuta,Marche,407
Sconosciuta,Molise,197
Sconosciuta,Piemonte,16395
Sconosciuta,Puglia,6245
Sconosciuta,Sardegna,2210
Sconosciuta,Sicilia,33510
Sconosciuta,Toscana,1010
Sconosciuta,Trentino-Alto Adige,123
Sconosciuta,Umbria,135
Sconosciuta,Valle D’Aosta,18
Sconosciuta,Veneto,566
Sicilia,Abruzzo,687
Sicilia,Calabria,566
Sicilia,Campania,412
Sicilia,Emilia-Romagna,6541
Sicilia,Friuli Venezia Giulia,450
Sicilia,Lazio,6597
Sicilia,Liguria,330
Sicilia,Lombardia,6425
Sicilia,Marche,507
Sicilia,Molise,8
Sicilia,Piemonte,4540
Sicilia,Puglia,163
Sicilia,Sardegna,70
Sicilia,Sicilia,70742
Sicilia,Toscana,4309
Sicilia,Trentino-Alto Adige,487
Sicilia,Umbria,809
Sicilia,Veneto,1907
Toscana,Abruzzo,151
Toscana,Campania,156
Toscana,Emilia-Romagna,4338
Toscana,Friuli Venezia Giulia,91
Toscana,Lazio,2404
Toscana,Liguria,449
Toscana,Lombardia,2911
Toscana,Marche,184
Toscana,Piemonte,935
Toscana,Puglia,10
Toscana,Sardegna,22
Toscana,Sicilia,6
Toscana,Toscana,76472
Toscana,Trentino-Alto Adige,198
Toscana,Umbria,2187
Toscana,Veneto,1082
Trentino-Alto Adige,Abruzzo,44
Trentino-Alto Adige,Campania,25
Trentino-Alto Adige,Emilia-Romagna,2115
Trentino-Alto Adige,Friuli Venezia Giulia,172
Trentino-Alto Adige,Lazio,287
Trentino-Alto Adige,Liguria,35
Trentino-Alto Adige,Lombardia,1413
Trentino-Alto Adige,Marche,95
Trentino-Alto Adige,Piemonte,219
Trentino-Alto Adige,Sardegna,20
Trentino-Alto Adige,Toscana,496
Trentino-Alto Adige,Trentino-Alto Adige,8990
Trentino-Alto Adige,Umbria,66
Trentino-Alto Adige,Veneto,4040
Umbria,Abruzzo,234
Umbria,Calabria,6
Umbria,Campania,55
Umbria,Emilia-Romagna,1158
Umbria,Friuli Venezia Giulia,35
Umbria,Lazio,3101
Umbria,Liguria,26
Umbria,Lombardia,836
Umbria,Marche,664
Umbria,Piemonte,359
Umbria,Sardegna,5
Umbria,Sicilia,20
Umbria,Toscana,1136
Umbria,Trentino-Alto Adige,95
Umbria,Umbria,16074
Umbria,Veneto,302
Valle D’Aosta,Emilia-Romagna,109
Valle D’Aosta,Friuli Venezia Giulia,14
Valle D’Aosta,Lazio,30
Valle D’Aosta,Liguria,36
Valle D’Aosta,Lombardia,269
Valle D’Aosta,Piemonte,1162
Valle D’Aosta,Toscana,59
Valle D’Aosta,Trentino-Alto Adige,7
Valle D’Aosta,Valle D’Aosta,579
Valle D’Aosta,Veneto,61
